position,person,personID,start,end
ambassador to the Maldives,أحمد الهدمي,Q101800250,1981,2017-10-16
ambassador to the Maldives,Anwar Elagha,Q106862716,2007-01-12,
ambassador to the Maldives,Walid Abu Ali,Q20635435,2019-04-14,
ambassador to Mali,Abdal Karim Ewaida,Q99522189,2014-01-17,
ambassador to Malta,Jubran Altawil,Q99581280,2004-09-23,2017
ambassador to Malta,Fadi Hanania,Q101189773,2019-03-15,
ambassador to Mauritania,لؤي عيسى,Q99460893,2006,2009
ambassador to Mauritania,Adnan Abu al-Hayjaa,Q101055268,2009-10-05,2014
ambassador to Mauritania,Diab Al-Louh,Q99445772,2016,2017
ambassador to Mauritania,Muhammad Al Assad,Q12130336,2021-04-01,
ambassador to Mauritius,Nasri Abu Jaish,Q82059994,2012-02-27,2015
ambassador to Mauritius,Hamdi Abu Ali,Q104208260,2020-02-27,
ambassador to Mexico,Randa Nabulsi,Q104214649,2010,2013
ambassador to Mexico,Muhammad Saadat,Q100708534,2016-05-13,
ambassador to Montenegro,ربيع الحنتولي,Q106746789,2016-10-10,
ambassador to Morocco,Wajeeh Qassim,Q104223746,1988,2005
ambassador to Morocco,Hasan Abdel Rahman,Q5679529,2006,2009
ambassador to Morocco,أحمد صبح,Q104098841,2009-07-16,2015
ambassador to Morocco,Zuhair Al-Shun,Q82082019,2015-09-17,2017
ambassador to Morocco,Jamal Al Shobaki,Q89281074,2018-01-24,
ambassador to Mozambique,Adnan Abu al-Hayjaa,Q101055268,2006,
ambassador to Namibia,Hashem Dajani,Q97168287,2016-02,2019-12-01
ambassador to Namibia,Hanan Jarrar,Q100255658,2020-11-29,
ambassador to the Netherlands,Nabil Abu Znaid,Q113361558,2009-09-10,2017
ambassador to Nicaragua,محمد عمرو,Q100723375,2015-10-10,
ambassador to Nigeria,Azmi Al-Daqqa,Q9163227,2006,2011
ambassador to Nigeria,Montaser Abu Zeid,Q101190577,2012,2015
ambassador to North Korea,Nemer Ismail,Q42537656,2009-03-23,
ambassador to Norway,ياسر النجار,Q99456390,2005,2013
ambassador to Norway,Mufeed Shami,Q102177603,2013,2015
ambassador to Norway,عمرو الحوراني,Q104841248,2015,2018
ambassador to Norway,Antoinette Halas Sedin,Q101095038,2018-11-29,
ambassador to Oman,عوني بطاش,Q105098618,1997,2005
ambassador to Oman,أحمد عباس رمضان,Q104223291,2014,2018
ambassador to Oman,Taysir Jaradat,Q113361574,2018-09-16,
ambassador to Pakistan,يوسف رجب الرضيع,Q105098608,2006,2006-12-31
ambassador to Pakistan,Hazem Abu Shanab,Q100704897,2009,2012
ambassador to Pakistan,Walid Abu Ali,Q20635435,2012,2017
ambassador to Pakistan,Ahmad Rabaie,Q99688835,2019,
ambassador to the People's Republic of China,Moustapha Saphariny,Q83379738,1992,2002
ambassador to the People's Republic of China,زكريا عبد الرحيم,Q106765032,2002-11-22,2005
ambassador to the People's Republic of China,Diab Al-Louh,Q99445772,2005-12-14,2010
ambassador to the People's Republic of China,أحمد عباس رمضان,Q104223291,2010-12-02,2014
ambassador to Peru,Walid Abdel Rahim,Q100997806,2006-03-04,2014
ambassador to Peru,Walid Muaqqat,Q21856548,2015,
ambassador to the Philippines,أحمد الفرا,Q106678761,1995,2005
ambassador to the Philippines,Anwar Elagha,Q106862716,2015-06-15,
ambassador to Poland,Hafez Al-Nimer,Q106660843,2000,2005
ambassador to Poland,Khaled Ghazal,Q104213963,2006,2011
ambassador to Poland,Azmi Al-Daqqa,Q9163227,2012-01-14,2017-05-22
ambassador to Poland,محمود خليفة,Q102176913,2018-04-17,
ambassador to Portugal,Randa Nabulsi,Q104214649,2006,2010
ambassador to Portugal,Mufeed Shami,Q102177603,2010,2013
ambassador to Portugal,Nabil Abu Znaid,Q113361558,2017-06-08,
ambassador to Ireland,يوسف علان,Q101771536,1993,2001-01-18
ambassador to Ireland,علي حليمة,Q101071327,2001,2005
ambassador to Ireland,أحمد عبد الرازق,Q115564012,2013,2019
ambassador to Ireland,Jilan Abdul Majid,Q101802184,2020-01-23,
ambassador to Romania,عدلي صادق,Q96769584,2005-10-31,2008
ambassador to Romania,Ahmed Majdalani,Q4695901,2008-03-21,2009-05
ambassador to Romania,أحمد بدر عقل,Q100151842,2009,2014
ambassador to Romania,Fuad Kokaly,Q5506878,2014,2021
ambassador to Romania,عصام مصالحة,Q98424378,2021-08-20,
ambassador to the Russian Federation,خيري العريدي,Q102029577,1996,2005
ambassador to the Russian Federation,Baker Abdel Munem,Q4849108,2006,2008
ambassador to the Russian Federation,Afif Safieh,Q383257,2008,2009
ambassador to the Russian Federation,Fayed Mustafa,Q5438993,2009-09-20,2015-05-28
ambassador to the Russian Federation,Abdel Hafiz Nofal,Q23304287,2015,
ambassador to Saudi Arabia,مصطفى الشيخ ديب,Q104094019,1994,2006
ambassador to Saudi Arabia,Jamal Al Shobaki,Q89281074,2006,2013
ambassador to Saudi Arabia,باسم الآغا,Q101094664,2013-10-03,
ambassador to Senegal,جبر أبو النجا,Q107404833,2004,2008
ambassador to Senegal,عبد الرحيم الفرا,Q102047791,2008-11-20,2015
